lat,lon
41.40,-1.01
41.37,0.38
41.09,1.10
41.17,2.04
41.54,2.46
40.57,-5.30
40.27,-3.33
39.53,-4.03
38.57,-1.51
39.30,-0.28
39.57,0.04
39.33,2.44
39.52,4.14
38.53,-6.49
38.17,-0.33
38.52,1.23
37.17,-6.55
37.25,-5.53
37.09,-5.37
37.51,-4.51
37.11,-3.47
38.00,-1.10
37.47,-0.48
36.45,-6.04
36.40,-4.29
36.51,-2.23
36.09,-5.21
38.50,-9.20
39.50,-8.53
37.57,-8.50
41.14,-8.41
40.09,-8.28
41.38,-8.48
37.01,-7.58
38.01,-7.52
41.16,-7.43
39.17,-7.25
38.46,-9.08
54.10,6.21
54.10,7.27
54.10,7.53
55.01,8.25
54.48,8.57
54.20,8.36
54.50,9.30
54.32,9.33
54.28,9.31
54.19,9.32
54.40,10.02
54.30,10.16
54.23,10.09
54.32,11.04
54.41,13.26
54.22,13.29
54.14,13.55
53.43,7.09
53.33,7.40
53.32,8.35
54.04,9.01
53.52,8.43
53.46,8.40
53.30,9.10
54.00,9.35
53.44,9.53
53.38,10.00
54.10,10.21
54.05,10.53
53.49,10.42
54.00,11.11
53.38,11.23
53.37,12.06
54.11,12.05
53.55,12.17
54.20,12.43
54.06,13.25
53.44,14.04
53.23,7.14
53.03,8.48
52.58,9.47
52.49,9.56
52.55,10.11
53.23,10.41
52.58,11.08
52.53,11.44
53.19,11.56
52.56,12.25
53.31,12.40
52.54,12.49
53.36,13.18
53.19,13.25
53.19,13.56
53.02,14.00
52.31,7.19
52.05,6.56
52.19,8.10
52.08,7.42
52.35,8.21
52.06,8.45
52.27,9.26
52.17,9.05
52.28,9.41
52.36,10.01
52.17,10.27
52.10,11.11
52.31,11.23
52.07,11.35
52.23,12.10
52.07,12.28
52.04,13.30
52.23,13.04
52.28,13.18
52.34,13.19
52.23,13.31
52.13,14.07
52.33,14.33
51.18,6.46
51.44,6.16
51.24,6.58
51.15,7.38
51.35,7.53
51.11,8.29
51.47,8.50
51.52,9.16
51.30,9.07
51.07,9.17
51.58,9.48
51.30,9.57
51.23,10.19
51.43,10.36
51.48,10.37
51.51,10.46
51.39,11.08
51.22,11.17
51.25,12.14
51.19,12.25
51.53,12.38
51.46,13.11
51.18,13.05
51.08,13.45
51.39,13.34
51.27,14.15
51.47,14.19
51.10,14.57
50.58,6.03
50.50,6.40
50.22,6.52
50.52,7.10
50.44,7.11
50.40,7.58
50.36,8.38
50.31,9.13
50.45,9.01
51.00,10.22
50.51,9.44
50.30,9.56
50.34,10.23
50.39,10.46
50.59,10.58
50.30,11.08
50.34,11.48
51.05,11.56
50.53,12.08
50.29,12.08
50.26,12.37
50.47,12.52
50.26,12.57
50.39,13.09
50.44,13.45
50.56,14.13
49.45,6.40
50.10,7.04
49.46,7.03
49.57,7.16
49.42,7.20
49.59,7.57
50.13,8.27
50.03,8.36
50.05,8.47
50.01,9.25
49.43,9.06
49.46,9.58
50.12,10.05
50.17,10.59
49.53,10.55
50.19,11.53
50.02,11.58
49.40,12.11
49.16,6.41
49.29,7.03
49.13,7.07
49.23,8.07
49.31,8.33
48.58,8.19
49.17,8.55
48.58,8.52
48.41,9.13
48.50,9.12
49.13,9.31
49.24,9.58
49.10,10.22
49.01,10.56
49.30,11.03
49.13,11.06
49.26,11.54
49.02,12.06
48.57,11.26
49.23,12.41
48.50,12.34
49.07,13.08
49.02,13.14
48.01,7.50
48.22,7.50
48.27,8.25
48.07,8.45
48.11,9.00
48.40,9.52
48.13,9.55
48.47,10.43
48.26,10.56
48.43,11.13
48.11,10.51
48.04,10.54
48.43,11.32
48.24,11.42
48.08,11.33
48.22,11.48
48.40,12.32
48.17,12.30
48.33,13.21
47.53,8.00
47.48,10.02
47.43,10.20
47.24,10.17
47.50,10.52
47.25,10.59
47.48,11.01
47.29,11.04
47.53,12.32
48.06,13.40
48.34,14.00
48.14,14.11
48.04,14.08
48.07,14.54
48.41,15.22
48.37,15.12
48.57,15.02
48.46,15.56
48.19,16.07
48.12,16.22
48.15,16.22
48.07,16.34
48.08,16.25
48.13,13.29
48.28,13.26
48.18,14.17
48.25,15.37
48.28,15.42
48.02,15.35
48.02,16.17
47.30,9.45
47.16,9.37
47.08,10.16
47.08,10.14
47.09,10.34
47.16,11.21
46.52,11.01
47.35,12.10
47.08,12.38
47.35,12.42
47.24,13.13
47.20,12.48
47.03,12.57
47.06,13.39
47.15,13.34
47.48,13.00
47.49,13.43
47.32,14.08
47.12,14.45
47.51,15.04
47.27,15.39
47.50,16.13
47.51,16.32
47.12,16.20
46.45,12.25
46.50,12.48
46.36,13.40
46.37,13.52
47.04,15.05
46.39,14.20
46.34,14.46
47.00,15.26
47.00,12.27
46.41,13.00
46.44,13.05
46.47,13.29
47.07,14.11
46.49,15.14
47.05,15.27
47.05,15.35
47.15,10.11
46.59,10.19
46.58,10.11
47.30,10.43
47.20,12.44
47.47,13.03
47.44,14.20
47.44,13.27
47.42,15.50
47.17,15.59
50.04,12.23
50.12,12.55
49.40,12.41
50.23,13.20
49.45,13.21
49.04,13.37
49.28,13.50
50.41,14.02
50.28,14.10
50.06,14.15
50.01,14.27
49.12,14.20
50.07,14.32
50.46,15.01
49.56,15.23
49.35,15.05
50.41,15.44
50.01,15.44
49.35,15.46
49.59,16.25
49.44,16.02
49.10,16.07
49.06,16.08
48.53,16.05
49.39,16.57
49.09,16.42
49.19,17.34
49.41,18.07
49.33,18.27
48.10,17.12
48.29,17.40
48.37,17.50
48.17,18.08
48.17,18.27
47.52,18.12
48.46,18.35
48.10,18.52
48.39,19.09
48.20,19.44
49.07,20.05
49.04,20.15
48.51,20.11
48.40,21.13
49.13,21.39
48.40,21.43
48.56,22.00
54.12,16.10
54.45,17.32
54.36,18.49
54.10,19.26
54.04,21.22
54.08,22.57
53.55,14.14
53.24,14.37
53.46,15.25
53.08,16.45
53.42,17.33
53.02,18.35
53.06,20.22
53.47,21.35
53.06,23.10
52.44,15.17
52.21,14.35
52.25,16.50
52.12,18.40
52.35,19.44
52.10,20.58
52.15,22.15
51.56,15.32
51.11,16.13
51.50,16.32
51.06,16.53
51.47,18.05
51.13,18.34
51.44,19.24
51.21,19.52
51.34,21.32
51.13,22.24
50.54,15.48
50.44,15.44
50.26,16.37
50.40,17.58
50.04,18.11
50.49,19.06
50.14,19.02
50.05,19.48
50.49,20.42
50.06,22.03
50.42,21.43
49.48,19.00
49.18,19.58
49.37,20.42
49.28,22.20
48.29,20.32
48.05,20.46
47.41,16.36
47.53,17.17
47.43,17.41
47.04,17.50
47.26,19.11
47.11,18.37
47.29,21.36
46.55,16.19
46.41,17.10
46.27,16.58
46.55,18.03
46.00,18.14
46.55,19.45
46.15,20.06
46.41,21.10
45.20,19.51
44.33,19.14
44.19,19.55
44.49,20.17
44.48,20.28
44.02,20.56
44.14,22.33
43.44,19.43
43.42,20.42
43.17,20.48
43.20,21.54
42.59,21.57
42.22,19.15
42.33,21.55
41.58,21.39
41.20,19.47
46.13,14.29
46.29,15.41
45.49,15.58
45.44,16.04
45.53,17.12
45.30,18.34
44.54,13.55
45.13,14.35
44.33,15.22
44.06,15.21
43.32,16.18
43.31,16.26
42.34,18.16
44.49,15.53
44.46,16.42
44.47,17.13
44.21,17.16
44.04,17.28
44.13,17.54
44.53,18.26
44.33,18.42
43.50,17.01
43.21,17.48
43.46,18.02
43.43,18.16
43.52,18.26
47.44,26.39
47.02,21.54
46.47,23.34
46.32,24.32
46.32,26.55
46.08,21.21
45.51,24.59
45.46,21.15
45.48,24.09
45.31,25.35
45.02,21.41
44.30,26.08
44.33,26.06
44.13,28.39
43.12,27.55
42.39,23.23
42.29,27.29
46.37,10.32
46.28,11.20
46.18,11.47
46.09,11.02
46.44,12.13
46.02,12.36
46.30,13.35
45.59,13.02
45.56,7.42
45.13,7.39
45.37,8.44
45.40,9.42
45.26,9.17
44.55,9.44
45.25,10.17
45.30,12.20
45.39,13.45
