"lat","lon","name"
47.07,81.37,"KZ|ВКО|Urzhar District"
51.37,8.54,"DE|NRW|Arnsberg"
49.24,11.54,"DE|BY|Upper Palatinate"
47.49,7.38,"FR|Grand Est|Haut-Rhin"
49.5,8.59,"DE|BW|KA"
47.29,8.32,"CH|AG|Muri"
50.05,7.34,"DE|RP|Rhein-Hunsrück-Kreis"
50.05,11.43,"DE|BY|Oberfranken"
47.25,10.59,"AT|Tyrol|Tirol"
52.02,10.19,"DE|NDS|HI"
38.52,1.23,""
52.24,13.04,"DE|BB|Potsdam-Mittelmark"
47.2,10.12,"AT|Vorarlberg|Bludenz District"
48.3,7.59,"FR|Grand Est|Bas-Rhin"
50.27,8.44,"DE|HE|DA"
49.27,7.47,"DE|RP|Moselle"
53.2,13.4,"DE|BB|UM"
48.17,9.43,"DE|BW|TÜ"
52.05,7.59,"DE|NRW|MS"
50.22,9.57,"DE|BY|Unterfranken"
48.2,10.15,"DE|BY|Schwaben"
51.2,7.2,"DE|NRW|Düsseldorf"
51.2,13.15,"DE|SN|Mittelsachsen"
53.29,9.54,"DE|NDS|Rotenburg (Wümme)"
52.22,14.32,"DE|BB|Oder-Spree"
36.19,43.09,"IQ|Nineveh Governorate|نينوى محافظة"
44.12,12.04,"IT|Emilia-Romagna|FC"
49.12,11.51,"DE|BY|Oberpfalz"
23.04,72.37,"IN|GJ|Ahmedabad"
37.05,37.22,"TR|Gaziantep|Şahinbey"
49.49,11.01,"DE|BY|Middle Franconia"
49.49,12.26,"DE|BY|Upper Palatinate"
47.59,11.28,"DE|BY|Oberbayern"
47.59,9.28,"CH|TG|Kreuzlingen"
51.56,12.23,"DE|SA|Landkreis Anhalt-Bitterfeld"
46.22,14.07,"SI|Škofja Loka|Municipality of Železniki"
48.31,10.23,"DE|BY|Schwaben"
49.06,11.48,"DE|BY|Oberbayern"
47.04,10.54,"AT|Tirol|Tyrol"
54.34,13.06,"DE|MV|Nordvorpommern"
54.34,8.31,"DE"
52.26,9.08,"DE|NDS|Detmold"
36.55,14.43,""
51.4,10.41,"DE|TH|EIC"
52.09,8.31,"DE|NRW|Detmold"
49.16,6.41,"FR|Grand Est|Moselle"
50.51,10.58,"DE|TH|HBN"
50.07,7.43,"DE|RP|Rhein-Hunsrück-Kreis"
52.4,13.41,"DE|BE|Kreisfreie Stadt Berlin"
49.26,8.33,"DE|RP|GER"
48.01,12.33,"DE|BY|Oberbayern"
48.01,11.33,"DE|BY|Upper Bavaria"
33.53,10.06,"TN|Gabès|Gabes"
50.53,0.19,""
55.36,49.17,"RU|Respublika Tatarstan|Republic of Tatarstan"
7.1,79.53,""
54.41,8.32,"DE"
48.34,7.53,"FR|Grand Est|Bas-Rhin"
49.11,37.17,"UA|Kharkivs'ka oblast|Kharkiv Oblast"
47.37,37.29,"UA|Donets'ka oblast|Donetsk Oblast"
42.33,1.36,"ES|CT|L"
46.15,6.08,"CH|FR|GE"
46.28,8.56,"CH|TI|Vallemaggia"
50.56,13.2,"DE|SN|Erzgebirgskreis"
51.31,8.45,"DE|NRW|Arnsberg"
47.56,9.17,"CH|TG|Weinfelden"
49.54,8.51,"DE|BW|KA"
49.54,9.26,"DE|BW|KA"
48.06,11.2,"DE|BY|Upper Bavaria"
